<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
UPCOM-INDEX,20201106,63.31,63.60,63.28,63.57,40109385
UPCOM-INDEX,20201105,63.50,63.55,63.24,63.31,27691915
UPCOM-INDEX,20201104,63.14,63.50,62.98,63.50,16846070
UPCOM-INDEX,20201103,63.08,64.01,62.93,63.14,12001909
UPCOM-INDEX,20201102,62.86,63.18,62.81,63.08,26357898
UPCOM-INDEX,20201030,62.74,62.98,62.45,62.85,46854694
UPCOM-INDEX,20201029,62.73,62.86,62.17,62.74,25557180
UPCOM-INDEX,20201028,63.41,63.42,62.44,62.73,24133830
UPCOM-INDEX,20201027,63.57,63.63,63.19,63.40,17960312
UPCOM-INDEX,20201026,63.91,63.99,63.32,63.57,22785135
UPCOM-INDEX,20201023,63.53,63.97,63.53,63.91,40421169
UPCOM-INDEX,20201022,63.77,63.77,63.39,63.64,27151208
UPCOM-INDEX,20201021,63.72,63.82,63.51,63.75,35419999
UPCOM-INDEX,20201020,63.95,64.13,63.32,63.71,36690441
UPCOM-INDEX,20201019,63.92,64.22,63.83,63.95,26047822
UPCOM-INDEX,20201016,63.48,64.01,63.39,63.85,39579252
UPCOM-INDEX,20201015,63.13,63.51,62.66,63.48,61806794
UPCOM-INDEX,20201014,63.43,63.43,62.65,63.13,40057518
UPCOM-INDEX,20201013,63.47,63.48,62.96,63.43,22177810
UPCOM-INDEX,20201012,64.01,64.31,63.22,63.47,35288538
