<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAS,20201215,5.7,5.8,5.6,5.7,833204
ABC,20201215,17.5,17.6,17.4,17.6,7500
ABI,20201215,35.7,36.8,35.7,36.2,1500
ACE,20201215,28.6,28.6,28.6,28.6,5000
ACV,20201215,78.7,78.7,77.4,78.5,501620
ADG,20201215,61,61.5,60.4,60.7,98060
AFX,20201215,12,12.1,10.3,11.9,136491
AGP,20201215,14.5,14.6,14.5,14.6,1011
AGX,20201215,31.5,31.5,31.5,31.5,10
AMS,20201215,9,9,9,9,1000
ANT,20201215,9.8,9.8,9.8,9.8,3300
APF,20201215,37,37.2,36.7,37.2,9100
ATB,20201215,0.6,0.7,0.6,0.7,84100
BDG,20201215,48,48.3,47,48.1,24051
BDT,20201215,19.6,19.7,19.6,19.7,2800
BHA,20201215,9.5,9.5,9.5,9.5,500
BLI,20201215,8,8.1,7.8,8.1,6400
BMF,20201215,21.3,21.3,21.3,21.3,4000
BMJ,20201215,28.5,28.5,28.5,28.5,10200
BMS,20201215,6,6,6,6,200
BOT,20201215,52.3,52.6,52.3,52.6,10200
BSA,20201215,12.9,12.9,12.9,12.9,3500
BSR,20201215,8.7,8.8,8.5,8.6,9902449
BTD,20201215,23.4,23.4,22.5,22.7,29000
BTG,20201215,5.8,5.8,5.8,5.8,200
BTN,20201215,2.9,2.9,2.9,2.9,1500
BTV,20201215,10.6,10.6,10.6,10.6,10
BUD,20201215,6.8,6.8,6.8,6.8,100
BVB,20201215,13.3,15.1,12.9,13,1708510
BVG,20201215,1.7,1.8,1.7,1.7,40050
BWA,20201215,5.1,5.1,5.1,5.1,300
BWS,20201215,35.2,35.2,35.2,35.2,100
C21,20201215,15,15,15,15,79
C4G,20201215,10.2,10.4,10,10.1,2232815
CAT,20201215,13.9,14,13.9,14,4000
CC1,20201215,24.9,24.9,21,21,400
CCM,20201215,44.9,44.9,44.9,44.9,100
CCP,20201215,7.6,7.6,7.6,7.6,100
CDO,20201215,0.7,0.8,0.7,0.7,14015
CDP,20201215,10.2,10.2,10.2,10.2,900
CEN,20201215,6.8,6.9,6.8,6.8,7800
CID,20201215,4.8,4.8,4.8,4.8,1300
CKD,20201215,20,20,17,17,4600
CLX,20201215,17.1,17.2,16.9,16.9,42370
CMT,20201215,7.6,7.6,7.6,7.6,1000
CNC,20201215,21.5,21.5,21.5,21.5,2200
CQN,20201215,18.5,18.5,18.2,18.2,570
CSI,20201215,14.3,14.3,14.3,14.3,1300
CT6,20201215,5.4,5.5,5.4,5.5,7955
CTR,20201215,61.3,63.5,52.2,62.5,963506
DAP,20201215,35,35,35,35,200
DAS,20201215,13.7,13.7,13.7,13.7,200
DC1,20201215,9.8,9.8,9.8,9.8,1000
DCF,20201215,12.3,12.3,12.3,12.3,100
DDN,20201215,10.6,11,10.6,10.8,23600
DDV,20201215,7,7,7,7,800
DGT,20201215,61,61,50,50,17500
DHD,20201215,24.8,24.8,24.8,24.8,2000
DID,20201215,2.8,2.8,2.8,2.8,5000
DKC,20201215,25.7,25.7,25.7,25.7,200
DNT,20201215,25.5,25.5,25.5,25.5,8
DNW,20201215,21.2,21.6,21.2,21.5,7900
DOP,20201215,9.6,9.6,9.6,9.6,500
DPH,20201215,24.5,24.7,24.5,24.7,800
DRI,20201215,7.6,7.7,7.4,7.5,379100
DSG,20201215,4.6,4.6,4.6,4.6,8200
DTB,20201215,9.3,9.3,9.3,9.3,110
DTK,20201215,13.5,13.5,11.5,13,500
DUS,20201215,10,10,10,10,4000
DVC,20201215,8.5,8.5,8.5,8.5,2400
DVN,20201215,17,17.6,16.7,17.5,1251439
EIC,20201215,7.4,7.4,7.3,7.3,302
EIN,20201215,5,5,5,5,100
EMS,20201215,34.6,34.6,30.1,30.1,5126
EVF,20201215,9.1,9.1,9,9.1,139868
FOC,20201215,105,105.9,105,105.9,910
FOX,20201215,57.9,58.8,49.1,58.7,3527
G36,20201215,11.5,13.1,9.7,11,1552320
GCB,20201215,9.5,9.5,9.5,9.5,100
GHC,20201215,33,33.1,32.5,32.8,24600
GND,20201215,27.2,27.2,26,26,4300
GSM,20201215,8.5,8.5,8.5,8.5,4000
HAC,20201215,5.2,5.2,5.2,5.2,2214
HAN,20201215,14.6,14.6,14.6,14.6,2200
HBD,20201215,14.3,14.5,14.3,14.5,900
HC3,20201215,26.1,26.1,26.1,26.1,10600
HD2,20201215,6,6,5.9,5.9,26410
HD6,20201215,8.7,8.7,8.7,8.7,2000
HDM,20201215,14,14,14,14,2700
HDP,20201215,9.3,9.5,9.3,9.5,1100
HEC,20201215,59,59,46,46,200
HIG,20201215,10.2,10.6,10,10.6,14538
HKP,20201215,4.4,4.4,4.3,4.3,1900
HLB,20201215,109.8,109.8,109.8,109.8,2400
HMS,20201215,22,22,22,22,100
HNA,20201215,11.1,11.1,11,11,370
HND,20201215,18.6,18.6,18.4,18.5,113520
HNE,20201215,8.4,8.4,8.4,8.4,1000
HNF,20201215,21.4,21.4,21.3,21.3,1200
HNI,20201215,34.6,34.6,34.5,34.5,1000
HPB,20201215,16.8,16.8,16.8,16.8,100
HPD,20201215,17.9,17.9,17.8,17.8,1000
HPH,20201215,3.5,3.5,3.5,3.5,1200
HPI,20201215,23.9,23.9,23.9,23.9,1000
HPT,20201215,9.8,9.8,9.8,9.8,10077
HSI,20201215,1,1,1,1,6399
HTE,20201215,6.6,6.9,6.6,6.9,26600
HTG,20201215,18.7,18.9,18.7,18.9,8800
HTM,20201215,11,11.1,10.8,10.9,26110
HU4,20201215,8.3,8.3,8,8,5200
ICF,20201215,1.7,1.7,1.7,1.7,110
ICN,20201215,56.9,58.3,56.9,58.3,2100
IFS,20201215,18.4,18.4,18.4,18.4,100
ILA,20201215,2.9,2.9,2.9,2.9,14424
ILS,20201215,13.9,14.7,11.7,11.7,600
IME,20201215,11,11,11,11,1300
IPA,20201215,16.3,17,16.3,17,5600
ISH,20201215,16.8,16.8,16.8,16.8,17000
ITS,20201215,3.6,4,3.6,3.7,16400
KHA,20201215,22,24.3,22,24.3,1800
KHD,20201215,8.3,8.3,8.3,8.3,100
KLB,20201215,14,16,13.7,14,63643
KSH,20201215,0.9,0.9,0.8,0.8,196940
LKW,20201215,27.9,27.9,27.9,27.9,4400
LLM,20201215,20,20,20,20,1200
LMC,20201215,9.3,9.3,9.3,9.3,117000
LTG,20201215,24.5,26.3,24.3,25.8,2229377
